title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Blessing Of Ramadan (PB),Javed Ali,9788185063096,Islamic,25.0,80,English,,"Eid-ul-Fitr is always an occasion for great fun and celebration. After a month-long Ramadan, everybody looks forward to a great Eid. Eid-ul-Fitr also calls for thanking Allah for His blessings, helping the poor and the needy around us and sharing our love and happiness with each other.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_3573477399fa4ff1a4b037eab6e46d77~mv2.jpg,67
Allahs Best Friend (PB),Saniyasnain Khan,9788187570516,Islamic,10.0,2,English,,"The book provides guidance and advice on the relationship with God and how to draw closer to Him. It explains the prophetic hadiths and Quranic verses in a simple and clear manner, helping the reader to strengthen their faith and enhance their relationship with God.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_4e3087396a0644568555129df21f8c13~mv2.jpg,68
Introducing Islam,Maulana Wahiduddin Khan,9788187570585,Islamic,25.0,8,English,,?Introducing Islam? provides the general reader with an accurate and comprehensive picture of Islam--the true religion of submission to God. In the first section it is shown that the true path is the path that God has revealed to mankind through His prophets. The second section provides an introduction to various aspects of the Islamic life under forty-five separate headings. Qur?anic teachings have been summarized in the third section in words taken from the Quran itself. In the fourth section the life that makes man worthy of Paradise has been described and in the last section the life that will condemn him to Hell-fire.,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_44e971e4c0634bd181ba857793f466d2~mv2.avif,69
The First Man (PB),Saniyasnain Khan,9788187570943,Islamic,10.0,2,English,,"The Quran is full of exciting stories, adventures, teachings and prayers, which show Allah's love for us and explain what He requires from us as believers",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_d72122878b5941f69c8441168456f2bc~mv2.jpg,70
Awesome Quran Question & Answers (HB),Saniyasnain Khan,9789351790099,Islamic,45.0,64,English,,"Awesome Quran Questions and Answers is packed with hundreds of incredible, heartwarming, and inspiring questions and answers about the people, places, and events mentioned in the Quran. Written especially for children aged 7 and up, it is an ideal gift for children who are curious to know the facts behind these magnificent and amazing stories of faith. It also brings the message of the Quran alive to readers in an easy and fun way. These interesting facts and stories come with stunning photographs and colorful illustrations.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_c1a9f82b02db4595b21a678781a053be~mv2.jpg,71
G/N Stories From The Quran (Arabic),Saniyasnain Khan,9789386589002,"Islamic,Today's Deals",60.0,242,Arabic,,"Let your children fly on their dreams with the book, Goodnight Stories from the Quran. These stories are accompanied with wonderful illustrations that make them enjoyable read for children as well as adults. These stories are perfect bedtime stories to relax your little one's mind, organize your thoughts at one point and learn more about Muslims' cultural behaviour and their practices. This book is illustrated beautifully for the readers to understand the stories with better knowledge.",GOOD WORD BOOKS,https://static.wixstatic.com/media/f18b65_2ee47955090d4e6f9cd33661077aa248~mv2.jpg,72
I Am Learning About.. EId-ul- Fitr,Saniyasnain Khan,9788178980669,Islamic,10.0,70,English,,"Eid, which means 'happiness' is the most joyous festival of the Muslim calendar. Eid-ul-Fitr is the first day after the month-long fasting of Ramadhan. Muslims throughout the world prepare for this day. They give food and money to the poor. They clean their homes, wear their best clothes and prepare special sweets for the family and friends. they also attend special Eid prayers in the Mosque or in an open area. Thisbook on Eid-ul-Fitr tells the story of two young children living in London and how they celebrate their Eid.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_d8c2f51ed8384d1f87ab2651398c1c12~mv2.jpg,73
The Emir and the Verse of the Throne,Fawzia Gilani,9788178983103,Islamic,10.0,9,English,,A rich emir loses his most prized possession � a tapestry of the Verse of the Throne � Ayat-ul- Kursi. Messengers are sent throughout the land to find another like it. One is found but it belongs to a poor orphan. Sadly the orphan gives up his tapestry with a heavy heart. But before he does he write a secret note to the Emir. (Suitable for K � 4).,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_98ea82644c8c4280b9f6d17ddf416ac7~mv2.jpg,74
Owl and the Dawn Prayer,Hediyah Al-Amin,9788178982984,Islamic,10.0,13,English,,Owl and the Dawn Prayeris a beautifully illustrated fun story that introduces children to the dawn prayer of the in a creative and lighthearted manner. With cute animal characters and a simple yet beautiful narrative this easy reader makes a great reading that will captivate young children as they become aware ofthe world around them and their place in it as one of God's creatures.,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_435e66cd4fd04d0c95e4d12128ec4219~mv2.jpg,75
Tell Me About the Creation (PB),Harun Yahya,9788178980478,Islamic,35.0,5,English,,"Apart from this book being informative, its sincere and lucid style gives it a distinctiveness which makes a powerful impact upon the reader. Author Harun Yahya has given considerable time and effort to present the logical and Islamic perspective on this subject. An important book for teens and also for adults to help their kids understand the reality and truth of creation.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_3fd7faf85d7d459582fc69ad75aed731~mv2.jpg,76
